reported,incident_type,occurred_start,occurred_end,location,street_address,city,disposition,latitude,longitude
2018-01-25 02:04:00,ASSIST CAMBRIDGE POLICE,2018-01-25 02:04:00,2018-01-25 02:04:00,DELPHIC CLUB,9 LINDEN ST,CAMBRIDGE,CLOSED,42.3723994,-71.11750889999999
2018-01-25 09:54:00,FIRE,2018-01-25 09:54:00,2018-01-25 10:20:00,LOWELL HOUSE,22 PRESCOTT ST,CAMBRIDGE,CLOSED,42.3706718,-71.118687
2018-01-25 10:45:00,UNWANTED GUEST,2018-01-25 10:45:00,2018-01-25 10:45:00,BOYLSTON HALL,5 HARVARD YARD,CAMBRIDGE,CLOSED,42.3743935,-71.11625719999999
2018-01-25 13:24:00,VANDALISM,2018-01-22 23:00:00,2018-01-23 07:30:00,CABOT SCIENCE LIBRARY,1 OXFORD ST,CAMBRIDGE,CLOSED,42.37623670000001,-71.11623999999999
2018-01-25 14:48:00,SUSPICIOUS ACTIVITY,2018-01-25 14:48:00,2018-01-25 14:48:00,LOWELL HOUSE,20 PRESCOTT ST,CAMBRIDGE,CLOSED,42.3736143,-71.113495
2018-01-25 15:22:00,ASSIST STATE POLICE,2018-01-25 15:00:00,2018-01-25 15:00:00,ANDERSON BRIDGE - BOSTON,709 SOLDIERS FIELD RD EXT,ALLSTON,CLOSED,42.3689582,-71.1232042
2018-01-25 21:29:00,SUSPICIOUS ACTIVITY,2018-01-25 21:29:00,2018-01-25 21:29:00,4-6 MT AUBURN STREET,4 MT AUBURN ST,CAMBRIDGE,CLOSED,42.3656392,-71.1153191
2018-01-18 14:17:00,SUSPICIOUS ACTIVITY,2017-12-20 09:00:00,2018-01-05 16:41:00,FAIRCHILD BIOCHEM BUILDING,7 DIVINITY AVE,CAMBRIDGE,CLOSED,42.377602,-71.11452919999999
2018-01-27 01:03:00,SUSPICIOUS ACTIVITY,2018-01-27 01:03:00,2018-01-27 01:03:00,LEVERETT HOUSE A - MCKINLOCK H,8 MILL ST,CAMBRIDGE,CLOSED,42.3700531,-71.1174183
2018-01-27 03:49:00,NOISE COMPLAINT,2018-01-27 03:49:00,2018-01-27 03:49:00,ELIOT HOUSE D,101 DUNSTER ST,CAMBRIDGE,CLOSED,42.3702493,-71.1209715
2018-01-27 12:19:00,UNWANTED GUEST,2018-01-27 12:00:00,2018-01-27 12:23:00,MATHER HOUSE A,93 BANKS ST,CAMBRIDGE,CLOSED,42.3683781,-71.11521259999999
2018-01-27 12:36:00,UNWANTED GUEST,2018-01-27 12:36:00,2018-01-27 12:36:00,SCIENCE CENTER,1 OXFORD ST,CAMBRIDGE,CLOSED,0,0
2018-01-03 10:44:00,SUSPICIOUS ACTIVITY,2018-01-02 12:00:00,2018-01-02 12:00:00,WASSERSTEIN HALL,1585 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.3790947,-71.1187539
2018-01-03 11:47:00,MOTOR VEHICLE ACCIDENT,2018-01-03 11:20:00,2018-01-03 11:24:00,BLACKSTONE SOUTH,46 BLACKSTONE ST,CAMBRIDGE,CLOSED,42.3642115,-71.1150967
2018-01-03 15:35:00,THREAT(S),2018-01-03 15:25:00,2018-01-03 15:25:00,DIVINITY HALL,14 DIVINITY AVE,CAMBRIDGE,OPEN,42.3786192,-71.114296
2018-01-03 16:00:00,ANNOYING CALLS/TEXTS/EMAILS,2017-11-23 00:01:00,2017-12-24 23:59:00,PERKINS HALL,35 OXFORD ST,CAMBRIDGE,CLOSED,42.3795145,-71.11681659999999
2018-01-03 19:13:00,SUSPICIOUS ACTIVITY,2018-01-03 19:13:00,2018-01-03 19:13:00,SOLDIERS FIELD PARK 02,111 WESTERN AVE,ALLSTON,CLOSED,42.3652725,-71.11986569999999
2018-01-03 19:31:00,PROPERTY DAMAGE,2018-01-03 19:30:00,2018-01-03 20:00:00,WELD HALL,3 HARVARD YARD,CAMBRIDGE,CLOSED,42.3770029,-71.11666009999999
2018-02-02 00:17:00,NOISE COMPLAINT,2018-02-02 00:17:00,2018-02-02 00:17:00,DELPHIC CLUB,9 LINDEN ST,CAMBRIDGE,CLOSED,42.3723994,-71.11750889999999
2018-02-02 00:25:00,NOISE COMPLAINT,2018-02-02 00:25:00,2018-02-02 00:25:00,SOLDIERS FIELD PARK 13,111 WESTERN AVE,ALLSTON,CLOSED,42.3644675,-71.1199197
2018-02-02 09:48:00,THREAT(S),2018-02-01 09:16:00,2018-02-02 09:48:00,WIDENER LIBRARY,31 HARVARD YARD,CAMBRIDGE,OPEN,42.3734309,-71.116519
2018-02-02 12:18:00,DOMESTIC DISTURBANCE,2018-02-02 12:18:00,2018-02-02 12:40:00,SHAD HALL,70 N HARVARD ST,ALLSTON,CLOSED,42.3663963,-71.1247173
2018-02-02 13:39:00,THEFT REPORT,2018-01-24 09:50:00,2018-01-24 11:25:00,ALDRICH HALL,35 HARVARD WAY,ALLSTON,CLOSED,42.3677074,-71.1243267
2017-11-30 00:12:00,ASSIST CAMBRIDGE POLICE,2017-11-30 00:12:00,2017-11-30 00:12:00,FLY CLUB,2 HOLYOKE PL,CAMBRIDGE,CLOSED,42.3714851,-71.1178123
2017-11-30 08:03:00,VANDALISM,2017-11-30 01:30:00,2017-11-30 05:51:00,WARREN ALPERT BUILDING,200 LONGWOOD AVE,BOSTON,CLOSED,42.3362729,-71.1028247
2017-11-30 10:26:00,UNWANTED GUEST,2017-11-30 10:26:00,2017-11-30 10:26:00,WASSERSTEIN HALL,1585 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.379404,-71.1195841
2017-12-31 00:01:00,TRESPASS WARNING,2017-12-31 00:01:00,2017-12-31 00:23:00,ATHLETICS - BRIGHT HOCKEY CENT,79 N HARVARD ST,ALLSTON,CLOSED,42.3683351,-71.12718260000001
2017-12-19 00:06:00,NOISE COMPLAINT,2017-12-19 00:06:00,2017-12-19 00:06:00,LOWELL HOUSE,65 MT AUBURN ST,CAMBRIDGE,CLOSED,42.3720079,-71.1180151
2017-12-19 11:04:00,THEFT REPORT,2017-12-19 09:50:00,2017-12-19 10:30:00,BOTANICAL GARDENS GARAGES,77 GARDEN ST,CAMBRIDGE,CLOSED,42.3825726,-71.12725569999999
2017-12-19 15:27:00,ANNOYING CALLS/TEXTS/EMAILS,2017-12-18 23:18:00,2017-12-19 00:27:00,MOWER HALL A,16 HARVARD YARD,CAMBRIDGE,CLOSED,0,0
2018-01-14 12:03:00,TRESPASS WARNING,2018-01-14 11:50:00,2018-01-14 12:40:00,MUSEUM NATURAL HISTORY,24 OXFORD ST,CAMBRIDGE,CLOSED,42.3781869,-71.1154884
2018-01-14 12:58:00,SUSPICIOUS ACTIVITY,2018-01-14 12:58:00,2018-01-14 12:58:00,LOWELL HOUSE,1201 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.3719526,-71.1147573
2018-01-14 20:39:00,THEFT REPORT,2018-01-13 22:00:00,2018-01-14 20:00:00,MCCULLOCH HALL,44 HARVARD WAY,ALLSTON,CLOSED,42.3670467,-71.1211343
2018-01-29 08:19:00,HARASSMENT,2017-09-01 17:00:00,2018-01-26 08:00:00,LITTAUER HKS,79 JFK ST,CAMBRIDGE,OPEN,42.3710804,-71.1219541
2018-01-29 15:33:00,VANDALISM,2018-01-28 15:00:00,2018-01-29 09:00:00,CABOT SCIENCE LIBRARY,1 OXFORD ST,CAMBRIDGE,CLOSED,42.37623670000001,-71.11623999999999
2018-01-29 20:38:00,THEFT REPORT,2018-01-29 20:10:00,2018-01-29 20:30:00,HEMENWAY GYMNASIUM H,1515 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.3769912,-71.11955669999999
2017-12-26 17:40:00,SUSPICIOUS MAIL/ PACKAGE/BAG,2017-12-26 17:40:00,2017-12-26 17:40:00,WILLIAM JAMES HALL,33 KIRKLAND ST,CAMBRIDGE,CLOSED,42.3771666,-71.11342859999999
2017-12-26 18:11:00,THEFT REPORT,2017-10-05 19:00:00,2017-10-06 17:00:00,HEMENWAY GYMNASIUM H,1515 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.3769912,-71.11955669999999
2018-01-30 07:14:00,TRESPASS WARNING,2018-01-30 07:14:00,2018-01-30 07:21:00,8-10 MT AUBURN ST,10 MT AUBURN ST,CAMBRIDGE,CLOSED,42.375208,-71.14497399999999
2018-01-30 08:47:00,UNWANTED GUEST,2018-01-30 08:47:00,2018-01-30 08:47:00,LIBRARY ARCHIVES,1280 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.379074,-71.11467
